iteration,tokens,newly_revealed,mean_confidence,num_masked
0,[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],,0.0000,10
1,i [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],0,0.3063,9
2,i ' [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],1,0.2806,8
3,i ' m [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],2,0.4303,7
4,i ' m a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK],3,0.4623,6
5,i ' m a [MASK] [MASK] [MASK] i [MASK] [MASK],7,0.4825,5
6,i ' m a [MASK] [MASK] and i [MASK] [MASK],6,0.6608,4
7,i ' m a [MASK] [MASK] and i [MASK] a,9,0.7170,3
8,i ' m a [MASK] [MASK] and i am a,8,0.7875,2
9,"i ' m a [MASK] , and i am a",5,0.8376,1
10,"i ' m a student , and i am a",4,0.9369,0
11,"i ' m a student , and i am a",,0.9958,0
12,"i ' m a student , and i am a",,0.9968,0
13,"i ' m a student , and i am a",,0.9976,0
14,"i ' m a student , and i am a",,0.9983,0
15,"i ' m a student , and i am a",,0.9988,0
16,"i ' m a student , and i am a",,0.9992,0
17,"i ' m a student , and i am a",,0.9995,0
18,"i ' m a student , and i am a",,0.9997,0
19,"i ' m a student , and i am a",,0.9999,0
20,"i ' m a student , and i am a",,1.0000,0
21,"i ' m a student , and i am a",,1.0000,0
22,"i ' m a student , and i am a",,1.0000,0
23,"i ' m a student , and i am a",,1.0000,0
24,"i ' m a student , and i am a",,1.0000,0
25,"i ' m a student , and i am a",,1.0000,0
